Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,SeasonFile,HomeElo,AwayElo,HomeForm,AwayForm,HomeFormAtHome,AwayFormAtAway,HomeH2H,AwayH2H,EloDiff,FormDiff,VenueFormDiff,H2HDiff,Target
2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2015-08-08,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2015-08-08,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2015-08-09,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2015-08-09,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2015-08-10,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,season-1516.csv,1500.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
