HomeTeam,AwayTeam,FTHG,FTAG
Arsenal,Coventry City,,
Hull City,Man United,,
Everton,Crystal Palace,,
Ipswich,Sunderland,,
Nott'm Forest,Leeds United,,
Brentford,Tottenham,,
Brighton,Aston Villa,,
Man City,Bournemouth,,
Newcastle,Liverpool,,
Fulham,Chelsea,,
Bournemouth,Everton,,
Aston Villa,Arsenal,,
Chelsea,Brighton,,
Coventry City,Hull City,,
Crystal Palace,Man City,,
Leeds United,Brentford,,
Liverpool,Nott'm Forest,,
Man United,Ipswich,,
Sunderland,Fulham,,
Tottenham,Newcastle,,
Arsenal,Chelsea,,
Brentford,Sunderland,,
Brighton,Leeds United,,
Everton,Man United,,
Fulham,Crystal Palace,,
Hull City,Aston Villa,,
Ipswich,Liverpool,,
Man City,Coventry City,,
Newcastle,Bournemouth,,
Nott'm Forest,Tottenham,,
Bournemouth,Brentford,,
Aston Villa,Nott'm Forest,,
Chelsea,Hull City,,
Coventry City,Brighton,,
Crystal Palace,Ipswich,,
Leeds United,Newcastle,,
Liverpool,Fulham,,
Man United,Man City,,
Sunderland,Arsenal,,
Tottenham,Everton,,
Bournemouth,Liverpool,,
Brentford,Chelsea,,
Brighton,Arsenal,,
Everton,Ipswich,,
Fulham,Man United,,
Leeds United,Crystal Palace,,
Man City,Sunderland,,
Newcastle,Hull City,,
Nott'm Forest,Coventry City,,
Tottenham,Aston Villa,,
Arsenal,Leeds United,,
Aston Villa,Brentford,,
Chelsea,Bournemouth,,
Coventry City,Newcastle,,
Crystal Palace,Nott'm Forest,,
Hull City,Everton,,
Ipswich,Fulham,,
Liverpool,Man City,,
Man United,Tottenham,,
Sunderland,Brighton,,
Bournemouth,Sunderland,,
Brentford,Liverpool,,
Brighton,Crystal Palace,,
Everton,Chelsea,,
Fulham,Hull City,,
Leeds United,Man United,,
Man City,Ipswich,,
Newcastle,Aston Villa,,
Nott'm Forest,Arsenal,,
Tottenham,Coventry City,,
Arsenal,Everton,,
Aston Villa,Man City,,
Chelsea,Tottenham,,
Coventry City,Fulham,,
Crystal Palace,Newcastle,,
Hull City,Brentford,,
Ipswich,Nott'm Forest,,
Liverpool,Brighton,,
Man United,Bournemouth,,
Sunderland,Leeds United,,
Bournemouth,Leeds United,,
Aston Villa,Fulham,,
Brentford,Nott'm Forest,,
Chelsea,Man United,,
Coventry City,Sunderland,,
Hull City,Ipswich,,
Liverpool,Arsenal,,
Man City,Brighton,,
Newcastle,Everton,,
Tottenham,Crystal Palace,,
Arsenal,Hull City,,
Brighton,Brentford,,
Crystal Palace,Liverpool,,
Everton,Coventry City,,
Fulham,Newcastle,,
Ipswich,Bournemouth,,
Leeds United,Tottenham,,
Man United,Aston Villa,,
Nott'm Forest,Man City,,
Sunderland,Chelsea,,
Bournemouth,Nott'm Forest,,
Aston Villa,Sunderland,,
Brentford,Everton,,
Chelsea,Leeds United,,
Coventry City,Crystal Palace,,
Hull City,Brighton,,
Liverpool,Man United,,
Man City,Fulham,,
Newcastle,Arsenal,,
Tottenham,Ipswich,,
Arsenal,Man City,,
Brighton,Newcastle,,
Crystal Palace,Hull City,,
Everton,Liverpool,,
Fulham,Bournemouth,,
Ipswich,Aston Villa,,
Leeds United,Coventry City,,
Man United,Brentford,,
Nott'm Forest,Chelsea,,
Sunderland,Tottenham,,
Bournemouth,Brighton,,
Aston Villa,Everton,,
Brentford,Arsenal,,
Chelsea,Crystal Palace,,
Coventry City,Ipswich,,
Hull City,Nott'm Forest,,
Liverpool,Sunderland,,
Man City,Leeds United,,
Newcastle,Man United,,
Tottenham,Fulham,,
Bournemouth,Hull City,,
Aston Villa,Crystal Palace,,
Brentford,Man City,,
Chelsea,Liverpool,,
Everton,Fulham,,
Leeds United,Ipswich,,
Man United,Coventry City,,
Newcastle,Sunderland,,
Nott'm Forest,Brighton,,
Tottenham,Arsenal,,
Arsenal,Bournemouth,,
Brighton,Everton,,
Coventry City,Aston Villa,,
Crystal Palace,Man United,,
Fulham,Brentford,,
Hull City,Tottenham,,
Ipswich,Newcastle,,
Liverpool,Leeds United,,
Man City,Chelsea,,
Sunderland,Nott'm Forest,,
Bournemouth,Coventry City,,
Arsenal,Man United,,
Brentford,Newcastle,,
Brighton,Ipswich,,
Chelsea,Aston Villa,,
Leeds United,Fulham,,
Liverpool,Tottenham,,
Man City,Hull City,,
Nott'm Forest,Everton,,
Sunderland,Crystal Palace,,
Aston Villa,Leeds United,,
Coventry City,Chelsea,,
Crystal Palace,Arsenal,,
Everton,Sunderland,,
Fulham,Brighton,,
Hull City,Liverpool,,
Ipswich,Brentford,,
Man United,Nott'm Forest,,
Newcastle,Man City,,
Tottenham,Bournemouth,,
Aston Villa,Liverpool,,
Coventry City,Brentford,,
Crystal Palace,Bournemouth,,
Everton,Man City,,
Fulham,Arsenal,,
Hull City,Leeds United,,
Ipswich,Chelsea,,
Man United,Sunderland,,
Newcastle,Nott'm Forest,,
Tottenham,Brighton,,
Bournemouth,Aston Villa,,
Arsenal,Ipswich,,
Brentford,Crystal Palace,,
Brighton,Man United,,
Chelsea,Newcastle,,
Leeds United,Everton,,
Liverpool,Coventry City,,
Man City,Tottenham,,
Nott'm Forest,Fulham,,
Sunderland,Hull City,,
Arsenal,Brentford,,
Brighton,Bournemouth,,
Crystal Palace,Chelsea,,
Everton,Aston Villa,,
Fulham,Tottenham,,
Ipswich,Coventry City,,
Leeds United,Man City,,
Man United,Newcastle,,
Nott'm Forest,Hull City,,
Sunderland,Liverpool,,
Bournemouth,Ipswich,,
Aston Villa,Man United,,
Brentford,Brighton,,
Chelsea,Sunderland,,
Coventry City,Everton,,
Hull City,Arsenal,,
Liverpool,Crystal Palace,,
Man City,Nott'm Forest,,
Newcastle,Fulham,,
Tottenham,Leeds United,,
Arsenal,Newcastle,,
Brighton,Man City,,
Crystal Palace,Tottenham,,
Everton,Brentford,,
Fulham,Aston Villa,,
Ipswich,Hull City,,
Leeds United,Chelsea,,
Man United,Liverpool,,
Nott'm Forest,Bournemouth,,
Sunderland,Coventry City,,
Bournemouth,Fulham,,
Aston Villa,Ipswich,,
Brentford,Man United,,
Chelsea,Nott'm Forest,,
Coventry City,Leeds United,,
Hull City,Crystal Palace,,
Liverpool,Everton,,
Man City,Arsenal,,
Newcastle,Brighton,,
Tottenham,Sunderland,,
Arsenal,Liverpool,,
Brighton,Hull City,,
Crystal Palace,Coventry City,,
Everton,Newcastle,,
Fulham,Man City,,
Ipswich,Tottenham,,
Leeds United,Bournemouth,,
Man United,Chelsea,,
Nott'm Forest,Brentford,,
Sunderland,Aston Villa,,
Aston Villa,Bournemouth,,
Coventry City,Liverpool,,
Crystal Palace,Brentford,,
Everton,Leeds United,,
Fulham,Nott'm Forest,,
Hull City,Sunderland,,
Ipswich,Arsenal,,
Man United,Brighton,,
Newcastle,Chelsea,,
Tottenham,Man City,,
Bournemouth,Crystal Palace,,
Arsenal,Fulham,,
Brentford,Coventry City,,
Brighton,Tottenham,,
Chelsea,Ipswich,,
Leeds United,Aston Villa,,
Liverpool,Hull City,,
Man City,Newcastle,,
Nott'm Forest,Man United,,
Sunderland,Everton,,
Aston Villa,Chelsea,,
Coventry City,Bournemouth,,
Crystal Palace,Sunderland,,
Everton,Nott'm Forest,,
Fulham,Leeds United,,
Hull City,Man City,,
Ipswich,Brighton,,
Man United,Arsenal,,
Newcastle,Brentford,,
Tottenham,Liverpool,,
Bournemouth,Tottenham,,
Arsenal,Crystal Palace,,
Brentford,Ipswich,,
Brighton,Fulham,,
Chelsea,Coventry City,,
Leeds United,Hull City,,
Liverpool,Aston Villa,,
Man City,Everton,,
Nott'm Forest,Newcastle,,
Sunderland,Man United,,
Bournemouth,Newcastle,,
Aston Villa,Hull City,,
Chelsea,Arsenal,,
Coventry City,Man City,,
Crystal Palace,Fulham,,
Leeds United,Brighton,,
Liverpool,Ipswich,,
Man United,Everton,,
Sunderland,Brentford,,
Tottenham,Nott'm Forest,,
Arsenal,Sunderland,,
Brentford,Bournemouth,,
Brighton,Coventry City,,
Everton,Tottenham,,
Fulham,Liverpool,,
Hull City,Chelsea,,
Ipswich,Crystal Palace,,
Man City,Man United,,
Newcastle,Leeds United,,
Nott'm Forest,Aston Villa,,
Bournemouth,Man City,,
Aston Villa,Brighton,,
Chelsea,Fulham,,
Coventry City,Arsenal,,
Crystal Palace,Everton,,
Leeds United,Nott'm Forest,,
Liverpool,Newcastle,,
Man United,Hull City,,
Sunderland,Ipswich,,
Tottenham,Brentford,,
Arsenal,Aston Villa,,
Brentford,Leeds United,,
Brighton,Chelsea,,
Everton,Bournemouth,,
Fulham,Sunderland,,
Hull City,Coventry City,,
Ipswich,Man United,,
Man City,Crystal Palace,,
Newcastle,Tottenham,,
Nott'm Forest,Liverpool,,
Bournemouth,Arsenal,,
Aston Villa,Coventry City,,
Brentford,Fulham,,
Chelsea,Man City,,
Everton,Brighton,,
Leeds United,Liverpool,,
Man United,Crystal Palace,,
Newcastle,Ipswich,,
Nott'm Forest,Sunderland,,
Tottenham,Hull City,,
Arsenal,Tottenham,,
Brighton,Nott'm Forest,,
Coventry City,Man United,,
Crystal Palace,Aston Villa,,
Fulham,Everton,,
Hull City,Bournemouth,,
Ipswich,Leeds United,,
Liverpool,Chelsea,,
Man City,Brentford,,
Sunderland,Newcastle,,
Bournemouth,Man United,,
Brentford,Aston Villa,,
Brighton,Sunderland,,
Everton,Hull City,,
Fulham,Ipswich,,
Leeds United,Arsenal,,
Man City,Liverpool,,
Newcastle,Coventry City,,
Nott'm Forest,Crystal Palace,,
Tottenham,Chelsea,,
Arsenal,Nott'm Forest,,
Aston Villa,Newcastle,,
Chelsea,Everton,,
Coventry City,Tottenham,,
Crystal Palace,Brighton,,
Hull City,Fulham,,
Ipswich,Man City,,
Liverpool,Brentford,,
Man United,Leeds United,,
Sunderland,Bournemouth,,
Bournemouth,Chelsea,,
Brentford,Hull City,,
Brighton,Liverpool,,
Everton,Arsenal,,
Fulham,Coventry City,,
Leeds United,Sunderland,,
Man City,Aston Villa,,
Newcastle,Crystal Palace,,
Nott'm Forest,Ipswich,,
Tottenham,Man United,,
Arsenal,Brighton,,
Aston Villa,Tottenham,,
Chelsea,Brentford,,
Coventry City,Nott'm Forest,,
Crystal Palace,Leeds United,,
Hull City,Newcastle,,
Ipswich,Everton,,
Liverpool,Bournemouth,,
Man United,Fulham,,
Sunderland,Man City,,
